,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
99,Drew Gooden,PF,25,CLE,80,80,28.0,4.6,9.8,0.473,0.0,0.1,0.167,4.6,9.7,0.476,0.474,1.8,2.5,0.714,3.3,5.2,8.5,1.1,0.9,0.4,1.4,2.6,11.1,2006-2007
100,Ben Gordon,SG,23,CHI,82,51,33.0,7.4,16.3,0.455,1.9,4.6,0.413,5.5,11.7,0.471,0.513,4.6,5.4,0.864,0.4,2.7,3.1,3.6,0.8,0.2,3.0,3.1,21.4,2006-2007
101,Joey Graham,SF,24,TOR,79,21,16.7,2.4,4.9,0.495,0.1,0.4,0.29,2.3,4.5,0.513,0.506,1.4,1.7,0.84,0.7,2.4,3.1,0.6,0.4,0.1,0.6,2.0,6.4,2006-2007
102,Danny Granger,SF,23,IND,82,57,34.0,4.9,10.6,0.459,1.3,3.5,0.382,3.5,7.1,0.497,0.522,2.9,3.6,0.803,1.4,3.3,4.6,1.4,0.8,0.7,1.6,3.0,13.9,2006-2007
103,Gerald Green,SF,21,BOS,81,26,22.0,3.8,9.1,0.419,1.2,3.2,0.368,2.7,5.9,0.447,0.484,1.6,2.0,0.805,0.8,1.7,2.6,1.0,0.5,0.3,1.5,2.4,10.4,2006-2007
104,Willie Green,SG,25,PHI,74,36,24.9,4.8,11.7,0.411,0.7,2.1,0.325,4.1,9.6,0.43,0.441,1.0,1.5,0.667,0.6,1.6,2.1,1.5,0.8,0.1,1.4,1.9,11.3,2006-2007
105,Richard Hamilton,SG,28,DET,75,75,36.8,7.3,15.6,0.468,0.6,1.7,0.341,6.7,13.9,0.483,0.486,4.6,5.4,0.861,1.0,2.8,3.8,3.8,0.8,0.2,2.1,3.1,19.8,2006-2007
106,Matt Harpring,SF,30,UTA,77,2,25.5,4.2,8.5,0.491,0.2,0.5,0.333,4.0,8.0,0.501,0.501,3.1,4.0,0.767,1.5,3.1,4.6,1.3,0.7,0.1,1.5,3.0,11.6,2006-2007
107,Al Harrington,PF,26,TOT,78,78,32.9,6.3,13.9,0.457,1.6,3.8,0.433,4.7,10.1,0.466,0.516,2.2,3.1,0.694,1.9,4.4,6.4,1.9,0.8,0.3,2.2,3.4,16.5,2006-2007
108,Al Harrington,PF,26,GSW,42,42,32.3,6.5,14.2,0.456,1.7,4.2,0.417,4.7,10.0,0.473,0.518,2.3,3.4,0.681,1.9,4.5,6.4,2.3,1.0,0.3,1.9,3.6,17.0,2006-2007
109,Devin Harris,PG,23,DAL,80,61,26.0,3.7,7.4,0.492,0.2,0.6,0.28,3.5,6.8,0.512,0.504,2.7,3.3,0.824,0.6,1.9,2.5,3.7,1.2,0.3,1.8,3.0,10.2,2006-2007
110,Udonis Haslem,PF,26,MIA,79,79,31.4,4.5,9.1,0.492,0.0,0.1,0.0,4.5,9.0,0.495,0.492,1.7,2.6,0.68,2.4,5.9,8.3,1.2,0.6,0.3,1.4,3.0,10.7,2006-2007
111,Trenton Hassell,SG,27,MIN,76,68,29.3,2.9,5.8,0.49,0.1,0.3,0.24,2.8,5.5,0.505,0.497,0.9,1.2,0.783,1.1,2.1,3.2,2.7,0.3,0.3,1.1,1.9,6.7,2006-2007
112,Chuck Hayes,PF,23,HOU,78,43,22.0,2.5,4.3,0.573,0.0,0.0,,2.5,4.3,0.573,0.573,0.7,1.1,0.618,2.6,4.1,6.7,0.6,0.9,0.2,0.8,3.6,5.6,2006-2007
113,Jarvis Hayes,SF,25,WAS,81,17,20.1,2.8,6.7,0.41,0.8,2.3,0.361,2.0,4.5,0.435,0.471,0.9,1.0,0.845,0.5,2.1,2.6,1.0,0.6,0.2,0.7,2.0,7.2,2006-2007
114,Brendan Haywood,C,27,WAS,77,49,22.6,2.6,4.6,0.558,0.0,0.0,,2.6,4.6,0.558,0.558,1.5,2.7,0.548,2.5,3.7,6.2,0.6,0.4,1.1,1.2,2.7,6.6,2006-2007
115,Luther Head,SG,24,HOU,80,10,27.6,3.8,8.8,0.437,2.2,5.0,0.441,1.6,3.7,0.431,0.564,1.0,1.3,0.79,0.4,2.8,3.2,2.4,1.0,0.1,1.7,1.7,10.9,2006-2007
116,Walter Herrmann,PF,27,CHA,48,12,19.5,3.6,6.9,0.527,1.1,2.4,0.461,2.5,4.5,0.563,0.608,0.9,1.1,0.774,0.6,2.3,2.9,0.5,0.4,0.1,0.7,1.6,9.2,2006-2007
117,NenÃª,C,24,DEN,64,42,26.8,4.6,8.1,0.57,0.0,0.0,0.0,4.6,8.0,0.571,0.57,3.0,4.4,0.689,2.3,4.7,7.0,1.2,1.0,0.9,2.0,3.3,12.2,2006-2007
118,Grant Hill*,SG,34,ORL,65,64,30.9,5.3,10.2,0.518,0.0,0.2,0.167,5.2,10.0,0.525,0.52,3.8,5.0,0.765,0.8,2.8,3.6,2.1,0.9,0.4,2.2,2.2,14.4,2006-2007
119,Kirk Hinrich,PG,26,CHI,80,80,35.5,5.9,13.3,0.448,1.8,4.2,0.415,4.2,9.1,0.463,0.514,3.0,3.6,0.835,0.4,3.0,3.4,6.3,1.3,0.3,2.4,3.4,16.6,2006-2007
120,Robert Horry,PF,36,SAS,68,8,16.5,1.3,3.7,0.359,0.7,2.2,0.336,0.6,1.5,0.392,0.458,0.6,0.9,0.594,1.1,2.3,3.4,1.1,0.7,0.6,0.6,1.5,3.9,2006-2007
121,Eddie House,SG,28,NJN,56,1,16.9,3.2,7.5,0.428,1.3,3.1,0.429,1.9,4.4,0.427,0.517,0.6,0.6,0.917,0.3,1.4,1.6,1.2,0.5,0.1,0.5,1.2,8.4,2006-2007
122,Dwight Howard,C,21,ORL,82,82,36.9,6.4,10.6,0.603,0.0,0.0,0.5,6.4,10.6,0.603,0.603,4.8,8.1,0.586,3.5,8.8,12.3,1.9,0.9,1.9,3.9,3.0,17.6,2006-2007
123,Josh Howard,SF,26,DAL,70,69,35.1,7.0,15.4,0.459,1.3,3.4,0.385,5.7,11.9,0.48,0.501,3.5,4.2,0.827,1.9,4.9,6.8,1.8,1.2,0.8,1.8,2.6,18.9,2006-2007
124,Juwan Howard,PF,33,HOU,80,38,26.5,3.9,8.3,0.465,0.0,0.0,,3.9,8.3,0.465,0.465,1.9,2.4,0.824,1.7,4.2,5.9,1.6,0.4,0.1,1.4,2.6,9.7,2006-2007
125,Larry Hughes,SG,28,CLE,70,68,37.1,5.4,13.6,0.4,1.1,3.2,0.333,4.4,10.4,0.42,0.439,3.0,4.4,0.676,0.6,3.2,3.8,3.7,1.3,0.4,2.2,2.3,14.9,2006-2007
126,Steven Hunter,PF,25,PHI,70,41,22.9,2.7,4.7,0.577,0.0,0.0,,2.7,4.7,0.577,0.577,1.1,2.2,0.49,1.6,3.2,4.8,0.4,0.2,1.1,0.9,2.0,6.4,2006-2007
127,Andre Iguodala,SG,23,PHI,76,76,40.3,5.8,13.0,0.447,0.6,2.0,0.31,5.2,11.0,0.472,0.471,5.9,7.3,0.82,1.0,4.7,5.7,5.7,2.0,0.4,3.4,2.6,18.2,2006-2007
128,Zydrunas Ilgauskas,C,31,CLE,78,78,27.3,4.9,10.2,0.485,0.0,0.0,0.0,4.9,10.2,0.486,0.485,2.0,2.5,0.807,3.1,4.6,7.7,1.6,0.6,1.3,1.8,3.3,11.9,2006-2007
129,Allen Iverson*,SG-PG,31,TOT,65,64,42.5,8.9,20.2,0.442,1.0,3.0,0.315,8.0,17.2,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5,26.3,2006-2007
130,Allen Iverson*,SG,31,DEN,50,49,42.4,8.6,18.9,0.454,1.0,2.9,0.347,7.6,16.1,0.473,0.48,6.6,8.7,0.759,0.3,2.7,3.0,7.2,1.8,0.2,4.0,1.5,24.8,2006-2007
131,Jarrett Jack,PG,23,POR,79,79,33.6,4.1,8.9,0.454,0.8,2.3,0.35,3.3,6.6,0.49,0.499,3.1,3.5,0.871,0.2,2.4,2.6,5.3,1.1,0.1,2.4,2.6,12.0,2006-2007
132,Bobby Jackson,SG,33,NOK,56,2,23.8,3.6,9.3,0.394,1.0,2.9,0.327,2.7,6.3,0.425,0.446,2.3,3.0,0.774,0.8,2.4,3.2,2.5,0.9,0.1,1.4,1.8,10.6,2006-2007
133,Marc Jackson,PF,32,NOK,56,25,18.3,2.8,6.9,0.41,0.0,0.0,0.0,2.8,6.9,0.411,0.41,1.6,1.8,0.874,1.1,2.3,3.4,1.0,0.4,0.1,1.2,1.6,7.3,2006-2007
134,Stephen Jackson,SF-SG,28,TOT,75,69,33.1,5.5,12.6,0.433,1.3,4.1,0.322,4.1,8.4,0.488,0.486,3.2,4.0,0.813,0.8,2.1,3.0,3.8,1.1,0.5,2.4,2.7,15.5,2006-2007
135,LeBron James,SF,22,CLE,78,78,40.9,9.9,20.8,0.476,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,2006-2007
136,Mike James,PG,31,MIN,82,65,25.2,3.6,8.6,0.422,1.0,2.6,0.372,2.6,6.0,0.445,0.479,1.9,2.2,0.837,0.3,1.7,2.0,3.6,0.7,0.1,1.6,2.1,10.1,2006-2007
137,Antawn Jamison,PF,30,WAS,70,70,38.0,7.3,16.3,0.45,2.0,5.4,0.364,5.3,10.9,0.492,0.51,3.2,4.4,0.736,1.9,6.1,8.0,1.9,1.1,0.5,1.5,2.8,19.8,2006-2007
138,Marko JariÄ,SG,28,MIN,70,13,22.2,1.9,4.6,0.418,0.5,1.2,0.376,1.5,3.4,0.433,0.468,1.0,1.3,0.761,0.8,1.9,2.6,2.1,1.1,0.2,1.3,2.5,5.3,2006-2007
139,Å arÅ«nas JasikeviÄius,SG-PG,30,TOT,63,3,15.4,2.0,5.1,0.398,0.7,2.1,0.338,1.3,3.0,0.438,0.466,1.4,1.5,0.905,0.2,0.9,1.1,2.7,0.4,0.0,1.4,1.2,6.1,2006-2007
140,Al Jefferson,C,22,BOS,69,60,33.6,6.6,12.8,0.514,0.0,0.0,0.0,6.6,12.8,0.514,0.514,2.9,4.3,0.681,3.4,7.5,11.0,1.3,0.7,1.5,2.0,3.4,16.0,2006-2007
141,Richard Jefferson,SF,26,NJN,55,53,35.6,5.5,12.1,0.456,0.9,2.6,0.359,4.6,9.5,0.483,0.495,4.3,5.9,0.733,0.9,3.5,4.4,2.7,0.6,0.1,2.2,2.2,16.3,2006-2007
142,Jared Jeffries,SF,25,NYK,55,43,23.8,1.7,3.7,0.461,0.0,0.4,0.1,1.7,3.4,0.5,0.466,0.6,1.2,0.456,2.0,2.3,4.3,1.2,0.8,0.5,1.1,2.7,4.1,2006-2007
143,Anthony Johnson,PG,32,TOT,67,17,19.4,2.1,5.1,0.414,0.4,1.1,0.342,1.7,4.0,0.433,0.45,0.7,0.9,0.754,0.3,1.2,1.5,3.0,0.5,0.0,1.1,1.8,5.3,2006-2007
144,Joe Johnson,SG,25,ATL,57,57,41.4,9.4,20.0,0.471,2.1,5.5,0.381,7.3,14.5,0.504,0.523,4.1,5.5,0.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2.0,25.0,2006-2007
145,Dahntay Jones,SG,26,MEM,78,25,21.4,2.8,5.9,0.477,0.1,0.2,0.417,2.8,5.8,0.479,0.483,1.8,2.2,0.793,0.6,1.4,2.0,0.9,0.5,0.3,1.2,2.5,7.5,2006-2007
146,Damon Jones,PG,30,CLE,60,0,19.6,2.3,5.9,0.386,1.5,3.9,0.385,0.8,2.1,0.387,0.511,0.5,0.7,0.682,0.2,1.0,1.1,1.6,0.3,0.0,0.6,0.9,6.6,2006-2007
147,Eddie Jones,SG,35,TOT,64,41,24.9,2.8,6.6,0.422,1.2,3.5,0.351,1.6,3.1,0.5,0.514,0.9,1.2,0.787,0.5,2.5,3.0,1.7,1.1,0.2,0.7,1.9,7.7,2006-2007
148,Fred Jones,SG,27,TOT,63,12,20.9,2.2,5.7,0.385,0.6,2.0,0.305,1.6,3.7,0.429,0.439,1.5,1.8,0.833,0.4,1.5,1.8,1.7,0.8,0.3,1.1,1.9,6.5,2006-2007
149,James Jones,SF,26,PHO,76,7,18.1,2.1,5.8,0.368,1.2,3.1,0.378,0.9,2.7,0.356,0.47,0.9,1.1,0.877,0.4,1.9,2.3,0.6,0.4,0.6,0.4,1.5,6.4,2006-2007
